campJeju_RM1221_1	Campylobacter jejuni RM1221	chr=1777831
46	Bacteroides fragilis NCTC 9343	NC_003228=5205140,NC_006873=36560
44	Bartonella quintana str. Toulouse	NC_005955=1581384
45	Chlamydia trachomatis D/UW-3/CX	NC_000117=1042519
42	Rickettsia conorii str. Malish 7	NC_003103=1268755
43	Rickettsia prowazekii str. Madrid E	NC_000963=1111523
40	Anaplasma marginale str. St. Maries	NC_004842=1197687
41	Coxiella burnetii RSA 493	NC_002971=1995281,NC_004704=37393
5	Treponema pallidum subsp. pallidum str. Nichols	NC_000919=1138011
eschColi_CFT073_1	Escherichia coli CFT073	chr=5231428
pyrAby1	Pyrococcus abyssi GE5	chr=1765118,plasmid_pGT5=3444
9605	Photorhabdus luminescens subsp. laumondii TTO1	NC_005126=5688987
9606	Gloeobacter violaceus PCC 7421	NC_005125=4659019
12554	Borrelia garinii PBi	NC_006128=27108,NC_006129=55560,NC_006156=904246
12530	Synechococcus sp. CC9311	NC_008319=2606748
12416	Pseudomonas syringae pv. phaseolicola 1448A	NC_005773=5928787,NC_007275=51711,NC_007274=131950
10774	Burkholderia thailandensis E264	NC_007651=3809201,NC_007650=2914771
